bait (F[1,2])	prey (F[3])	DMSO	FK506	H2O2	NaCl	CuSO4
ho::NatMX	RPB9	-0.0308045715711128	-0.00763735805086289	-0.0107458680035648	-0.050438884117598	-0.0287318217515335
FTR1	FPR1	-0.0323215806297883	-0.052243450117454	-0.072223467462898	-0.0421933544828856	-0.0124189169823328
SHR3	ho::HphMX	-0.0350593292799545	-0.0816057177742597	-0.0471758335072858	-0.0615966103055715	-0.0647361024556249
FMP45	FPR1	-0.0367551261677961	-0.0574523448941686	-0.0436690594143154	0.00664382324846537	-0.0439784644877047
FMP45	SHR3	-0.0373562891855042	-0.071609637811327	-0.0498007288290039	-0.0253115068324786	-0.0378744331840446
TPO1	DBP2	-0.0376022245062714	-0.010449100264819	-0.0146186730932457	-0.0627629210290146	-0.0510980372434352
PRS3	SNQ2	-0.0376653092503156	-0.0563733943854297	-0.0113782620257967	-0.0406282985422284	-0.0573399212323439
DST1	ho::HphMX	-0.0376689128299479	-0.0224954579624913	-0.0242609170734272	-0.0234348496853042	-0.00308020360894426
FMP45	ho::HphMX	-0.0437489850607228	-0.0728771770579104	-0.0492357194695559	-0.0731239220592382	-0.0524013224974941
FTR1	DBP2	-0.0522394574417068	-0.0603427187142852	-0.059471394419043	-0.111913609807043	-0.0560086338566488
HOM3	RPB9	-0.0530711549801633	-0.0565342180640846	-0.00395743988988794	-0.099637335442995	0.0144837655292386
FTR1	RPB9	-0.0557922873630448	-0.10426802462458	-0.0495046163825505	-0.0775464785034937	-0.04495448968088
FMP45	SNQ2	-0.0586126718911609	-0.0298782465402937	-0.0439693436195865	0.026436965978497	-0.0604871548857734
FTR1	SHR3	-0.0595011274903751	-0.0513610999072989	-0.0424263222760521	-0.0224511515376938	-0.0328420753006918
FTR1	ho::HphMX	-0.0599411536159961	-0.0513062775934067	-0.0749626784735381	-0.0254446695487085	-0.0985267026462073
FTR1	PRS3	-0.0614958568183933	-0.0502184739459992	-0.0600674240993761	-0.0262169760710173	-0.0745942684074177
SHR3	SNQ2	-0.0615214099363541	-0.0501875061531165	-0.0370966332715517	-0.0651055479492658	-0.115745823735064
DST1	SNQ2	-0.0627548035413696	0.00130189897927867	-0.0660046500147788	-0.120415440072615	-0.0484587758319905
ho::NatMX	HXT1	-0.0751018842764109	-0.063733555565993	-0.0792162225640824	-0.0478827460363512	-0.0530015450217323
TPO1	SHR3	-0.0756322081613618	-0.0040399575636773	-0.043817053481364	-0.0434775947543987	-0.116953735981196
TPO1	FPR1	-0.081297536705589	-0.109285811184886	-0.0799436708951185	-0.0627280612130418	-0.0499989739431806
HOM3	SNQ2	-0.08408787671513	-0.0613362082500206	-0.095545591733095	-0.0700407530828571	-0.16390619398885
HOM3	ho::HphMX	-0.086027310322909	-0.0310826507085167	-0.0566605538872908	-0.062702824434037	-0.0559776471879967
DST1	DBP2	-0.0895821647640939	-0.0159933078062222	-0.0638249291305149	-0.08371987323969	-0.092004427528687
DST1	PDR5	-0.0952422313898698	-0.0300917147842642	-0.0473500022056389	-0.0392174968705916	-0.0442981420282417
DBP2	SNQ2	-0.101152445588104	-0.0506670729216241	-0.00477165449121722	-0.0541377030173357	-0.0577966844429571
IMD3	HXT1	-0.101915534351604	-0.0843840303140571	-0.0986835217144152	-0.087569401198517	-0.0738922888749962
SHR3	IMD3	-0.109426431324854	-0.012429103395541	-0.0735292667731769	-0.0477420600970096	-0.121648214188218
TPO1	PRS3	-0.116084195844796	-0.0633627213821047	-0.109187494454405	-0.0815167958850021	-0.118116315629724
IMD3	PRS3	-0.124675720098868	-0.0217728366223522	-0.0779465416416241	-0.0707362385571566	-0.145340557627715
DST1	IMD3	-0.124872086361704	-0.0744697112284285	-0.101805765414788	-0.121464788998244	-0.12625839073849
IMD3	DBP2	-0.133802002150724	-0.120397583288231	-0.0595946715422994	-0.120510628427947	-0.066477539035305
TPO1	ho::HphMX	-0.139772877964455	-0.134070354136919	-0.0941886458816983	-0.119201604506229	-0.0923351143353144
ho::NatMX	IMD3	-0.151830890391587	-0.101250600144949	-0.131579285640262	-0.118746067265665	-0.123840742143835
IMD3	SNQ2	-0.157594628346881	-0.0816087464775188	-0.134320539221193	-0.10442333184632	-0.126350007492956
IMD3	RPB9	-0.15953560904346	-0.193476637807563	-0.128736706320677	-0.167105883663224	-0.122252941542715
DBP2	IMD3	-0.166035748821172	-0.0892047798888769	-0.149088814767031	-0.130353569162932	-0.136147604477738
FMP45	IMD3	-0.188126436375133	-0.149763022353748	-0.182569995103792	-0.148246072068766	-0.166919273388555
IMD3	ho::HphMX	-0.218133134668652	-0.157817033391902	-0.159813034519539	-0.149469841618694	-0.138487039277853
IMD3	PDR5	-0.220610216767353	-0.134669120204432	-0.156591951502272	-0.122305446502844	-0.194933167729828
FTR1	IMD3	-0.249566093473328	-0.137716687450959	-0.174006653921224	-0.162667489072608	-0.146322497576544
TPO1	IMD3	-0.284121222452067	-0.0911256817549659	-0.256247672174371	-0.190086550014909	-0.247631490747619
