"prey","bait","Specificity_score","In_frame_score","In_frame_prey_transcripts","Sum_scores","Borda_scores"
"AT1G04630","NINJA_SE",0.443606061622185,0.298182762201454,"AT1G04630.1",0.741788823823639,8.8832298136646
"AT1G04635","EMPTY_SE",0.0842401016200056,0,"0",0.0842401016200056,1.96726272352132
"AT1G04640","NINJA_SE",0.370049006077072,0,"0",0.370049006077072,3.90196435067297
"AT1G04647","EMPTY_SE",0.46485172767683,0,"0",0.46485172767683,5.79028340080972
"AT1G04650","EMPTY_SE",0.189696611892824,0,"0",0.189696611892824,2.40774410774411
"AT1G04660","NINJA_SE",0,0.298182762201454,"AT1G04660.1",0.298182762201454,1.98116082559911
"AT1G04680","NINJA_SE",0.0518050754929368,0,"0",0.0518050754929368,1.86215876047047
"AT1G04690","NINJA_SE",0.178700542536538,0,"0",0.178700542536538,2.35230263157895
"AT1G04700","EMPTY_SE",0.309618400804924,0,"0",0.309618400804924,3.23306457689699
"AT1G04710","EMPTY_SE",0.210551920422923,0,"0",0.210551920422923,2.51840112695897
"AT1G04730","NINJA_SE",0.134104981146216,0,"0",0.134104981146216,2.15359132660744
"AT1G04737","NINJA_SE",0.0961899701961475,0,"0",0.0961899701961475,2.03471333048798
"AT1G04750","NINJA_SE",0.443924831893875,0.77871235721703,"AT1G04750.1",1.22263718911091,11.396015936255
"AT1G04753","EMPTY_SE",0.0646298769848222,0,"0",0.0646298769848222,1.90194600824505
"AT1G04760","NINJA_SE",0.31050981517574,0,"0",0.31050981517574,3.23623472620305
"AT1G04770","EMPTY_SE",0.0382159627050873,0,"0",0.0382159627050873,1.82090565717438
"AT1G04780","NINJA_SE",0.191591748283198,0,"0",0.191591748283198,2.41723943661972
"AT1G04790","NINJA_SE",0.37009122012194,0,"0",0.37009122012194,3.89806486781139
"AT1G04803","NINJA_SE",0.17463653427748,0,"0",0.17463653427748,2.33146769548443
"AT1G04810","EMPTY_SE",0.130826217199353,0,"0",0.130826217199353,2.13856352489658
"AT1G04810","NINJA_SE",0,0.298182762201454,"AT1G04810.1",0.298182762201454,1.9809778844822
"AT1G04820","EMPTY_SE",0.479762841446673,0,"0",0.479762841446673,6.25451895043732
"AT1G04820","NINJA_SE",0,0.655295950155763,"AT1G04820.1",0.655295950155763,2.01427163043989
