"","prey","bait","Specificity_score","In_frame_score","In_frame_prey_transcripts","Sum_scores","Borda_scores","interactor","SNRFPKM"
"7786","AT3G56100","NINJA_SE",0.356231417804704,0,"0",0.356231417804704,2.10426679744973,NA,0
"7787","AT3G56110","NINJA_SE",0,0.882917964693666,"AT3G56110.1,AT3G56110.2,AT3G56110.3,AT3G56110.4",0.882917964693666,2.00233339555721,NA,0
"7788","AT3G56130","NINJA_SE",0,0.298182762201454,"AT3G56130.1,AT3G56130.2,AT3G56130.3,AT3G56130.4,AT3G56130.5",0.298182762201454,1.72987138652582,NA,0
"7789","AT3G56150","NINJA_SE",0,0.298182762201454,"AT3G56150.1,AT3G56150.2",0.298182762201454,1.72973190888934,NA,0
"7790","AT3G56160","NINJA_SE",0.352451412389173,0,"0",0.352451412389173,2.08889970788705,NA,0
"7791","AT3G56170","NINJA_SE",0.0704880080803851,0,"0",0.0704880080803851,1.37475168215316,NA,0
"7792","AT3G56190","NINJA_SE",0,0.298182762201454,"AT3G56190.1,AT3G56190.2",0.298182762201454,1.7295924537429,NA,0
"7793","AT3G56210","NINJA_SE",0.115542611946686,0.298182762201454,"AT3G56210.1,AT3G56210.2,AT3G56210.4,AT3G56210.5",0.41372537414814,2.25975667562016,NA,0
"7794","AT3G56230","NINJA_SE",0.122862973026661,0,"0",0.122862973026661,1.46632035815591,NA,0
"7795","AT3G56240","NINJA_SE",0.401718985917621,0.298182762201454,"AT3G56240.1,AT3G56240.2,AT3G56240.3",0.699901748119075,5.25808823529412,NA,0
"7796","AT3G56260","NINJA_SE",0.270152409525298,0,"0",0.270152409525298,1.8126742712294,NA,0
"7797","AT3G56290","NINJA_SE",0.205268537247228,0,"0",0.205268537247228,1.64277509763382,NA,0
"7798","AT3G56300","NINJA_SE",0.0271044819719524,0,"0",0.0271044819719524,1.30568150695353,NA,0
"7799","AT3G56310","NINJA_SE",0.472875494364827,0.67533748701973,"AT3G56310.1",1.14821298138456,13.1815668202765,NA,0
"7800","AT3G56340","NINJA_SE",0,0.857736240913811,"AT3G56340.1",0.857736240913811,1.98896717967736,NA,0
"7801","AT3G56350","NINJA_SE",0.00954688814525538,0,"0",0.00954688814525538,1.27974468338951,NA,0
"7802","AT3G56360","NINJA_SE",0,0.710903426791277,"AT3G56360.1",0.710903426791277,1.91647311059496,NA,0
"7803","AT3G56430","NINJA_SE",0.264138276557891,0,"0",0.264138276557891,1.79530524289719,NA,0
"7804","AT3G56450","NINJA_SE",0.033099505593728,0,"0",0.033099505593728,1.31436098517339,NA,0
"7805","AT3G56460","NINJA_SE",0.233643296058483,0,"0",0.233643296058483,1.71247256036719,NA,0
"7806","AT3G56470","NINJA_SE",0.200917859820096,0,"0",0.200917859820096,1.63165500456343,NA,0
"7807","AT3G56480","NINJA_SE",0.377936700733103,0,"0",0.377936700733103,2.18930503112563,NA,0
"7808","AT3G56490","NINJA_SE",0,0.697715472481828,"AT3G56490.1",0.697715472481828,1.90947930574099,NA,0
"7809","AT3G56690","NINJA_SE",0.331869476077008,0,"0",0.331869476077008,2.00936636538191,NA,0
"7810","AT3G56710","NINJA_SE",0.0871789317558569,0,"0",0.0871789317558569,1.40142409197805,NA,0
"7811","AT3G56720","NINJA_SE",0,0.298182762201454,"AT3G56720.1,AT3G56720.2,AT3G56720.4,AT3G56720.6",0.298182762201454,1.72910453776094,NA,0
"7812","AT3G56770","NINJA_SE",0.312899248205162,0.298182762201454,"AT3G56770.1",0.611082010406616,3.72383266793959,NA,0
"7813","AT3G56780","NINJA_SE",0.348913488838963,0,"0",0.348913488838963,2.07105275860404,NA,0
"7814","AT3G56800","NINJA_SE",0.364561722534705,0.680166147455867,"AT3G56800.1",1.04472786999057,5.85427752762996,NA,0
"7815","AT3G56820","NINJA_SE",0.413112104656496,0.298182762201454,"AT3G56820.1",0.71129486685795,5.54986418315871,NA,0
"7816","AT3G56830","NINJA_SE",0.407352970017099,0,"0",0.407352970017099,2.31836602366672,NA,0
"7817","AT3G56840","NINJA_SE",0.427593494987404,0,"0",0.427593494987404,2.41832938789313,NA,0
"7818","AT3G56850","NINJA_SE",0.0460941596180421,0,"0",0.0460941596180421,1.33339548760022,NA,0
"7819","AT3G56880","NINJA_SE",0,0.61521287642783,"AT3G56880.1",0.61521287642783,1.87297014143531,NA,0
"7820","AT3G56900","NINJA_SE",0.283471116267351,0,"0",0.283471116267351,1.8494762705289,NA,0
"7821","AT3G56910","NINJA_SE",0.476307484454389,0.662045690550363,"AT3G56910.1",1.13835317500475,13.412316348859,NA,0
"7822","AT3G56950","NINJA_SE",0.424087204819025,0,"0",0.424087204819025,2.39979864645674,NA,0
"7823","AT3G56960","NINJA_SE",0.254958310654837,0.298182762201454,"AT3G56960.1,AT3G56960.2",0.553141072856291,3.12771541040968,NA,0
"7824","AT3G56980","NINJA_SE",0.0961899701961475,0,"0",0.0961899701961475,1.41389309958479,NA,0
"7825","AT3G56990","NINJA_SE",0,1,"AT3G56990.3",1,2.06477382098171,NA,0
"7826","AT3G57000","NINJA_SE",0.333125275274343,0,"0",0.333125275274343,2.01200468933177,NA,0
"7827","AT3G57010","NINJA_SE",0.106642534936213,0,"0",0.106642534936213,1.43512727029468,NA,0
"7828","AT3G57030","NINJA_SE",0.0185032051760604,0.298182762201454,"AT3G57030.1",0.316685967377514,1.89305095962938,NA,0
"7829","AT3G57040","NINJA_SE",0.109130231451247,0,"0",0.109130231451247,1.43946052940584,NA,0
"7830","AT3G57050","NINJA_SE",0.276277267352107,0.796313603322949,"AT3G57050.1,AT3G57050.2,AT3G57050.3",1.07259087067506,4.2777666999003,NA,0
