"prey","bait","Enrichment_score","Specificity_score","Sum_scores","Borda_scores"
"FTR1-F[1,2]_PRS3-F[3]","DMSO",0.121296,0,0.121296,1.14025085518814
"FTR1-F[1,2]_PRS3-F[3]","FK506",0.104648,0.0154352,0.1200832,1.19617224880383
"FTR1-F[1,2]_PRS3-F[3]","H2O2",0.172972,0.2880578125,0.4610298125,1.78890876565295
"FTR1-F[1,2]_PRS3-F[3]","NaCl",0.179296,0.382045714285714,0.561341714285714,1.99600798403194
"FTR1-F[1,2]_RPB9-F[3]","CuSO4",0.687296,0.101601799307958,0.788897799307958,2.2271714922049
"FTR1-F[1,2]_RPB9-F[3]","DMSO",0.646648,0.40992125,1.05656925,3.93700787401575
"FTR1-F[1,2]_RPB9-F[3]","FK506",0.598648,0,0.598648,1.56494522691706
"FTR1-F[1,2]_RPB9-F[3]","H2O2",0.676972,0.367774532871972,1.04474653287197,3.84615384615385
"FTR1-F[1,2]_RPB9-F[3]","NaCl",0.562648,0.00755555555555555,0.570203555555556,1.62866449511401
"FTR1-F[1,2]_SHR3-F[3]","CuSO4",0.51162,0.742773333333333,1.25439333333333,3.89105058365759
"FTR1-F[1,2]_SHR3-F[3]","DMSO",0.276324,0,0.276324,1.24843945068664
"FTR1-F[1,2]_SHR3-F[3]","FK506",0.242841666666667,0.0660776859504132,0.30891935261708,1.41043723554302
"FTR1-F[1,2]_SHR3-F[3]","H2O2",0.291296,0.247139167657551,0.538435167657551,1.89753320683112
"FTR1-F[1,2]_SHR3-F[3]","NaCl",0.303296,0.2735615625,0.5768575625,2
"FTR1-F[1,2]_SNQ2-F[3]","CuSO4",0.76162,0.52485,1.28647,6.06060606060606
"FTR1-F[1,2]_SNQ2-F[3]","DMSO",0.604972,0,0.604972,1.56739811912226
"FTR1-F[1,2]_SNQ2-F[3]","FK506",0.642972,0.085374,0.728346,2.03665987780041
"FTR1-F[1,2]_SNQ2-F[3]","H2O2",0.701296,0.245335505350773,0.946631505350773,3.06748466257669
"FTR1-F[1,2]_SNQ2-F[3]","NaCl",0.582648,0.00248888888888889,0.585136888888889,1.64473684210526
"ho::NatMX_DBP2-F[3]","CuSO4",0.473296,0.021683950617284,0.494979950617284,1.5625
"ho::NatMX_DBP2-F[3]","DMSO",0.438972,0,0.438972,1.38504155124654
"ho::NatMX_DBP2-F[3]","FK506",0.561296,0.0909204152249135,0.652216415224913,1.89753320683112
"ho::NatMX_DBP2-F[3]","H2O2",0.355296,0.389387438016529,0.744683438016529,2.4390243902439
"ho::NatMX_DBP2-F[3]","NaCl",0.461296,0.0412459259259259,0.502541925925926,1.60513643659711
"ho::NatMX_FPR1-F[3]","CuSO4",0.746561111111111,0,0.746561111111111,1.75746924428822
"ho::NatMX_FPR1-F[3]","DMSO",0.820324,0.087408,0.907732,2.49376558603491
"ho::NatMX_FPR1-F[3]","FK506",0.832972,0.0508108875739645,0.883782887573964,2.32558139534884
"ho::NatMX_FPR1-F[3]","H2O2",0.80562,0.112460740740741,0.918080740740741,2.63157894736842
"ho::NatMX_FPR1-F[3]","NaCl",0.853296,0.253350476190476,1.10664647619048,4.20168067226891
"ho::NatMX_ho::HphMX","CuSO4",0.488972,0.0241049382716049,0.513076938271605,1.59744408945687
"ho::NatMX_ho::HphMX","DMSO",0.577296,0.0594221487603306,0.636718148760331,1.82815356489945
"ho::NatMX_ho::HphMX","FK506",0.671296,0.2895959375,0.9608919375,3.25732899022801
"ho::NatMX_ho::HphMX","H2O2",0.502841666666667,0,0.502841666666667,1.44508670520231
"ho::NatMX_ho::HphMX","NaCl",0.69162,0.32377355529132,1.01539355529132,3.7037037037037
"ho::NatMX_HXT1-F[3]","CuSO4",0.124972,0.0734459259259259,0.198417925925926,1.31406044678055
"ho::NatMX_HXT1-F[3]","DMSO",0.12962,0.115229112426035,0.244849112426036,1.40056022408964
"ho::NatMX_HXT1-F[3]","FK506",0.148324,0,0.148324,1.14942528735632
"ho::NatMX_HXT1-F[3]","H2O2",0.16562,0.425985714285714,0.591605714285714,2.04081632653061
"ho::NatMX_HXT1-F[3]","NaCl",0.162648,0.304184545454545,0.466832545454545,1.81818181818182
"ho::NatMX_IMD3-F[3]","CuSO4",0.076324,0,0.076324,1.10253583241455
"ho::NatMX_IMD3-F[3]","DMSO",0.100972,0.127788125,0.228760125,1.39664804469274
"ho::NatMX_IMD3-F[3]","FK506",0.106972,0.0569725443786982,0.163944544378698,1.27551020408163
"ho::NatMX_IMD3-F[3]","H2O2",0.133296,0.484590082644628,0.617886082644628,2.04081632653061
"ho::NatMX_IMD3-F[3]","NaCl",0.131296,0.263533333333333,0.394829333333333,1.68067226890756
"ho::NatMX_PDR5-F[3]","CuSO4",0.732324,0.152406280991736,0.884730280991735,2.67379679144385
