"","bait","prey","Enrichment_score","Specificity_score","Sum_scores","Borda_scores","interactor","Fitness_Score"
"133","DMSO","FMP45-F[1,2]_FPR1-F[3]",0.860324,0,0.860324,2.03252032520325,0,-0.0367551261677961
"134","DMSO","FMP45-F[1,2]_ho::HphMX",0.722324,0,0.722324,1.77935943060498,0,NA
"135","DMSO","FMP45-F[1,2]_HXT1-F[3]",0.08762,0.037922962962963,0.125542962962963,1.230012300123,1,0.108120271230961
"136","DMSO","FMP45-F[1,2]_HXT1-F[3]",0.08762,0.037922962962963,0.125542962962963,1.230012300123,1,0.108120271230961
"137","DMSO","FMP45-F[1,2]_IMD3-F[3]",0.370324,0,0.370324,1.35135135135135,0,-0.188126436375133
"138","DMSO","FMP45-F[1,2]_PDR5-F[3]",0.848972,0.0562492307692308,0.905221230769231,2.40963855421687,1,0.0647840753949897
"139","DMSO","FMP45-F[1,2]_PDR5-F[3]",0.848972,0.0562492307692308,0.905221230769231,2.40963855421687,1,0.0647840753949897
"140","DMSO","FMP45-F[1,2]_PRS3-F[3]",0.099296,0.237807202216066,0.337103202216066,1.57977883096367,0,-0.0233975936048791
"141","DMSO","FMP45-F[1,2]_RPB9-F[3]",0.567296,0.130615,0.697911,2.08333333333333,0,-0.0135172994656431
"142","DMSO","FMP45-F[1,2]_SHR3-F[3]",0.026648,0.0769822485207101,0.10363024852071,1.24069478908189,0,-0.0373562891855042
"143","DMSO","FMP45-F[1,2]_SNQ2-F[3]",0.306648,0.04316875,0.34981675,1.43266475644699,1,-0.0586126718911609
"144","DMSO","FMP45-F[1,2]_SNQ2-F[3]",0.306648,0.04316875,0.34981675,1.43266475644699,1,-0.0586126718911609
"145","DMSO","FTR1-F[1,2]_DBP2-F[3]",0.376324,0.246357479191439,0.622681479191439,2.06185567010309,0,-0.0522394574417068
"146","DMSO","FTR1-F[1,2]_FPR1-F[3]",0.758324,0,0.758324,1.80831826401447,0,-0.0323215806297883
"147","DMSO","FTR1-F[1,2]_ho::HphMX",0.082648,0.0654499173553719,0.148097917355372,1.26582278481013,0,NA
"148","DMSO","FTR1-F[1,2]_HXT1-F[3]",0.28762,0.083438,0.371058,1.49253731343284,1,0.205431699604574
"149","DMSO","FTR1-F[1,2]_HXT1-F[3]",0.28762,0.083438,0.371058,1.49253731343284,1,0.205431699604574
"150","DMSO","FTR1-F[1,2]_IMD3-F[3]",0.114324,0,0.114324,1.13895216400911,0,-0.249566093473328
"151","DMSO","FTR1-F[1,2]_PDR5-F[3]",0.353296,0,0.353296,1.31578947368421,0,0.103760085149745
"152","DMSO","FTR1-F[1,2]_PRS3-F[3]",0.121296,0,0.121296,1.14025085518814,0,-0.0614958568183933
"153","DMSO","FTR1-F[1,2]_RPB9-F[3]",0.646648,0.40992125,1.05656925,3.93700787401575,0,-0.0557922873630448
"154","DMSO","FTR1-F[1,2]_SHR3-F[3]",0.276324,0,0.276324,1.24843945068664,0,-0.0595011274903751
"155","DMSO","FTR1-F[1,2]_SNQ2-F[3]",0.604972,0,0.604972,1.56739811912226,0,-0.0294994166278417
"156","DMSO","ho::NatMX_DBP2-F[3]",0.438972,0,0.438972,1.38504155124654,0,NA
"157","DMSO","ho::NatMX_FPR1-F[3]",0.820324,0.087408,0.907732,2.49376558603491,0,NA
"158","DMSO","ho::NatMX_ho::HphMX",0.577296,0.0594221487603306,0.636718148760331,1.82815356489945,0,NA
"159","DMSO","ho::NatMX_HXT1-F[3]",0.12962,0.115229112426035,0.244849112426036,1.40056022408964,0,NA
"160","DMSO","ho::NatMX_IMD3-F[3]",0.100972,0.127788125,0.228760125,1.39664804469274,0,NA
"161","DMSO","ho::NatMX_PDR5-F[3]",0.751402777777778,0.0139056,0.765308377777778,1.94552529182879,0,NA
"162","DMSO","ho::NatMX_PRS3-F[3]",0.757683333333333,0.032754375,0.790437708333333,2.0703933747412,0,NA
"163","DMSO","ho::NatMX_RPB9-F[3]",0.533296,0,0.533296,1.46627565982405,0,NA
"164","DMSO","ho::NatMX_SHR3-F[3]",0.734648,0.134940495867769,0.869588495867769,2.59067357512953,0,NA
"165","DMSO","ho::NatMX_SNQ2-F[3]",0.344324,0.150057851239669,0.494381851239669,1.75438596491228,0,NA
"166","DMSO","HOM3-F[1,2]_DBP2-F[3]",0.464972,0.0751640236686391,0.540136023668639,1.69491525423729,0,0.0074054171199525
"167","DMSO","HOM3-F[1,2]_FPR1-F[3]",0.965296,0.296889,1.262185,6.5359477124183,1,1.02904050966939
"168","DMSO","HOM3-F[1,2]_ho::HphMX",0.620972,0.4619075,1.0828795,3.96825396825397,0,NA
"169","DMSO","HOM3-F[1,2]_HXT1-F[3]",0.304324,0,0.304324,1.24688279301746,0,-0.0270916408637011
"170","DMSO","HOM3-F[1,2]_IMD3-F[3]",0.79162,0.191356009070295,0.982976009070295,3.14465408805031,0,0.0158079593120332
"171","DMSO","HOM3-F[1,2]_PDR5-F[3]",0.570648,0,0.570648,1.4903129657228,0,-0.0245052941716534
"172","DMSO","HOM3-F[1,2]_PRS3-F[3]",0.33362,0.213640816326531,0.547260816326531,1.89753320683112,0,0.0523144343803376
"173","DMSO","HOM3-F[1,2]_RPB9-F[3]",0.506324,0.235891966759003,0.742215966759003,2.32018561484919,0,-0.0530711549801633
