"","bait","prey","Enrichment_score","Specificity_score","Sum_scores","Borda_scores","DEEPN_score","interactor"
"1797","di4spUb","Eif3h",0,0.135035353632394,0.135035353632394,1.83546712244832,0.063,1
"1798","di4spUb","Eif3m",0,0.128998138429466,0.128998138429466,1.79835065878859,0.008,1
"1799","di4spUb","Eif4e",0,0.0049550538687111,0.0049550538687111,1.512315663611,0.007,1
"1800","di4spUb","Eif4e2",0,0.173066742732091,0.173066742732091,2.13168539325843,0,1
"1801","di4spUb","Eif4e3",0,0.152068218060802,0.152068218060802,1.96241768092956,0.008,0
"1802","di4spUb","Eif4h",0,0.179741687117308,0.179741687117308,2.19042487684729,0,NA
"1803","di4spUb","Eif5a2",0,0.007515298334858,0.007515298334858,1.52206236294593,0.004,0
"1804","di4spUb","Eif5b",0.98427087170043,0.664862019819648,1.64913289152008,1138.32,0.998,1
"1805","di4spUb","Eif6",0,0.164725546690104,0.164725546690104,2.05918958031838,0.009,1
"1806","di4spUb","Elac1",0,0.161465282712869,0.161465282712869,2.03264169136817,0.099,0
"1807","di4spUb","Elac2",0,0.00992526997375159,0.00992526997375159,1.53189427787048,0.006,1
"1808","di4spUb","Elavl1",0,0.139807960156597,0.139807960156597,1.87266804856381,0.005,1
"1809","di4spUb","Elavl4",0,0.163686952733788,0.163686952733788,2.04940227567334,0.006,0
"1810","di4spUb","Elf2",0,0.177289231529976,0.177289231529976,2.16542383198904,0,NA
"1811","di4spUb","Elk1",0,0.169763394827983,0.169763394827983,2.09952414327345,0.008,1
"1812","di4spUb","Elk4",0,0.166192351842732,0.166192351842732,2.06967272727273,0.008,0
"1813","di4spUb","Ell",0,0.189749602613309,0.189749602613309,2.28257469420493,0,1
"1814","di4spUb","Ell2",0,0.141890808740999,0.141890808740999,1.88682247637991,0.011,0
"1815","di4spUb","Ell3",0,0.188428770492413,0.188428770492413,2.26983050847458,0,NA
"1816","di4spUb","Elmo1",0,0.176056449562079,0.176056449562079,2.1528917804592,0,NA
"1817","di4spUb","Elmod1",0,0.153951624157941,0.153951624157941,1.97193638914874,0.009,0
"1818","di4spUb","Elovl1",0,0.182890018470172,0.182890018470172,2.21497509339975,0,NA
"1819","di4spUb","Elovl3",0,0.168122483647927,0.168122483647927,2.08376656659589,0.284,0
"1820","di4spUb","Elovl4",0,0.156173347715692,0.156173347715692,1.98784576697402,0.009,1
"1821","di4spUb","Elovl6",0,0.176279782122544,0.176279782122544,2.15272892318166,0,NA
"1822","di4spUb","Elovl7",0,0.144073359219621,0.144073359219621,1.8994793752503,0.009,1
"1823","di4spUb","Elp2",0,0.173694594685158,0.173694594685158,2.12993039443155,0,1
"1824","di4spUb","Elp3",0,0.136929152044332,0.136929152044332,1.84206097482038,0.027,0
"1825","di4spUb","Elp4",0,0.180457074619807,0.180457074619807,2.19025629184946,0,NA
"1826","di4spUb","Emc1",0,0.179301098307401,0.179301098307401,2.17868626550299,0,1
"1827","di4spUb","Emc2",0,0.00410574566689973,0.00410574566689973,1.50412262156448,0.021,1
"1828","di4spUb","Emc3",0,0.131627381457789,0.131627381457789,1.80657038565307,0.018,1
"1829","di4spUb","Emc4",0,0.149838760376258,0.149838760376258,1.93842381309175,0.007,1
"1830","di4spUb","Emc6",0,0.179922891357027,0.179922891357027,2.18328282634547,0,NA
"1831","di4spUb","Emc7",0,0.141849746023254,0.141849746023254,1.8823295961901,0.009,1
"1832","di4spUb","Emcn",0,0.130218858406901,0.130218858406901,1.79738520810964,0.014,0
"1833","di4spUb","Emd",0,0.180286936354296,0.180286936354296,2.18554642500576,0,1
"1834","di4spUb","Eme1",0,0.154819987980731,0.154819987980731,1.9739881385912,0.034,0
"1835","di4spUb","Eml1",0,0.142694583931517,0.142694583931517,1.88713527851459,0.006,1
"1836","di4spUb","Eml3",0,0.170314928345916,0.170314928345916,2.09689422687249,0.011,0
"1837","di4spUb","Eml6",0,0.157886492865138,0.157886492865138,1.99607210493091,0.007,1
"1838","di4spUb","Emp2",0,0.00521456470815347,0.00521456470815347,1.50702994677893,0.004,0
"1839","di4spUb","Emp3",0,0.188428770492413,0.188428770492413,2.2608142999007,0,NA
"1840","di4spUb","Emr1",0,0.155263979728372,0.155263979728372,1.9755640402638,0.009,0
"1841","di4spUb","Emx2",0,0.164913287592781,0.164913287592781,2.05043591036818,0.008,1
"1842","di4spUb","Endod1",0,0.145874556852111,0.145874556852111,1.90641433595713,0.019,0
"1843","di4spUb","Endog",0,0.172257030414382,0.172257030414382,2.11112759643917,0.012,1
"1844","di4spUb","Endov",0,0.189919849888133,0.189919849888133,2.27291242362525,0,NA
"1845","di4spUb","Eno1b",0,0.187102755707427,0.187102755707427,2.24529567241311,0,NA
"1846","di4spUb","Eno4",0,0.183911227826426,0.183911227826426,2.21394118562315,0,NA
"1847","di4spUb","Enox1",0,0.186492554213452,0.186492554213452,2.23911247492034,0,NA
"1848","di4spUb","Enox2",0,0.192068487908331,0.192068487908331,2.29907901114881,0,1
"1849","di4spUb","Enpep",0,0.136688762772228,0.136688762772228,1.83357494926066,0.009,0
"1850","di4spUb","Enpp2",0,0.131052234545343,0.131052234545343,1.79806659505908,0.033,0
"1851","di4spUb","Enpp3",0,0.146912980987249,0.146912980987249,1.91185757473967,0.011,0
"1852","di4spUb","Enpp4",0,0.174392500813432,0.174392500813432,2.12658795396802,0,NA
"1853","di4spUb","Enpp5",0,0.14102750742528,0.14102750742528,1.87112893681373,0.037,0
"1854","di4spUb","Ensa",0,0.165241820947391,0.165241820947391,2.04954987396471,0.012,1
"1855","di4spUb","Enthd2",0,0.192068487908331,0.192068487908331,2.29713040319651,0,1
"1856","di4spUb","Entpd1",0,0.174891327151231,0.174891327151231,2.12993039443155,0,NA
"1857","di4spUb","Entpd5",0,0.133986657568025,0.133986657568025,1.81440275431158,0.01,0
"1858","di4spUb","Epas1",0,0.142060953805193,0.142060953805193,1.87674349589475,0.01,1
"1859","di4spUb","Epb4.1l2",0,0.13309459296913,0.13309459296913,1.80777537796976,0.006,0
"1860","di4spUb","Epb4.1l3",0,0.132002987604692,0.132002987604692,1.80113924050633,0.034,0
"1861","di4spUb","Epc1",0,0.174011666966014,0.174011666966014,2.11914513366595,0,NA
"1862","di4spUb","Epg5",0,0.158068353263462,0.158068353263462,1.98888772408009,0.097,0
"1863","di4spUb","Epgn",0,0.16953456709182,0.16953456709182,2.08018712766346,0.013,0
"1864","di4spUb","Epha4",0,0.141544651541432,0.141544651541432,1.87075992637392,0.044,1
"1865","di4spUb","Epha5",0,0.167594462359146,0.167594462359146,2.06404351767906,0.006,0
"1866","di4spUb","Epha6",0,0.162255580439251,0.162255580439251,2.02087771623349,0.009,0
"1867","di4spUb","Epha7",0,0.150120383003249,0.150120383003249,1.92935593220339,0.008,1
"1868","di4spUb","Ephx4",0,0.176819334720645,0.176819334720645,2.1408259986459,0,NA
"1869","di4spUb","Epm2aip1",0,0.130512300709169,0.130512300709169,1.78952994812136,0.007,0
"1870","di4spUb","Epn2",0,0.158484981665401,0.158484981665401,1.99020910553186,0.007,1
"1871","di4spUb","Eprs",0,0.17288486819309,0.17288486819309,2.10604995374653,0,1
"1872","di4spUb","Eps15",0.879210604665439,0.655255859016694,1.53446646368213,132.362790697674,0.994,1
"1873","di4spUb","Eps8l2",0,0.16744192287572,0.16744192287572,2.06038227628149,0.006,0
"1874","di4spUb","Eps8l3",0,0.170596562482733,0.170596562482733,2.08559912055698,0.009,0
"1875","di4spUb","Eqtn",0,0.129643711494456,0.129643711494456,1.78302684752984,0.019,0
"1876","di4spUb","Erap1",0,0.149744831388126,0.149744831388126,1.92387777176852,0.037,0
"1877","di4spUb","Erbb2ip",0,0.00468374708202136,0.00468374708202136,1.49778947368421,0.006,0
"1878","di4spUb","Erc1",0,0.157886492865138,0.157886492865138,1.98306679209784,0.01,0
