"","bait","prey","interactor"
"508","SH3GLB1","SH3GLB1",1
"509","SH3GLB1","SH3GLB2",1
"510","SH3GLB1","STX4",0
"511","SH3GLB1","UBE2I",1
"512","SH3GLB2","CCND3",1
"513","SH3GLB2","CDKN2D",1
"514","SH3GLB2","CNOT7",1
"515","SH3GLB2","EXOSC1",1
"516","SH3GLB2","EXOSC5",1
"517","SH3GLB2","FHL3",1
"518","SH3GLB2","GAA",1
"519","SH3GLB2","LSM3",1
"520","SH3GLB2","MORF4L1",1
"521","SH3GLB2","NMI",1
"522","SH3GLB2","S100A1",0
"523","SH3GLB2","SH3GLB1",1
"524","SH3GLB2","SH3GLB2",1
"525","SH3GLB2","STX4",1
"526","SH3GLB2","TEX11",1
"527","SH3GLB2","TSG101",1
"528","SNX32","PPID",0
"529","SNX32","TEX11",1
"530","SNX32","TSG101",1
"531","STMN2","PSMC1",1
"532","STMN2","TEX11",1
"533","STMN2","UBE2I",1
"534","STX4","IKZF1",0
"535","STX4","QKI",0
"536","STX4","RBPMS",0
"537","STX4","S100A1",0
"538","STX4","SH3GLB1",0
"539","STX4","SH3GLB2",1
"540","STX4","STX4",1
"541","STX4","VAMP2",1
"542","STX4","VAMP3",1
"543","SUPT4H1","SUPT5H",1
"544","SUPT5H","CEP55",1
"545","SUPT5H","CTBP1",1
"546","SUPT5H","FHL3",1
"547","SUPT5H","RYBP",1
"548","SUPT5H","SUPT4H1",1
"549","SUPT5H","SUPT5H",0
"550","SUPT5H","TEX11",1
"551","TEX11","BCL2L2",1
"552","TEX11","CCND2",1
"553","TEX11","CCND3",1
"554","TEX11","CDKN1A",1
"555","TEX11","CDKN2D",1
"556","TEX11","CEP55",1
"557","TEX11","CNOT7",1
"558","TEX11","EXOSC1",1
"559","TEX11","EXOSC5",1
"560","TEX11","LSM2",1
"561","TEX11","MORF4L1",1
"562","TEX11","MRFAP1",1
"563","TEX11","MRFAP1L1",1
"564","TEX11","MTA1",1
"565","TEX11","PIAS1",1
"566","TEX11","QKI",1
"567","TEX11","SH3GLB2",1
"568","TEX11","SNX32",1
"569","TEX11","STMN2",1
"570","TEX11","SUPT5H",1
"571","TEX11","TOPBP1",1
"572","TEX11","TSG101",1
"573","TOPBP1","AP2B1",0
"574","TOPBP1","DAPK1",0
"575","TOPBP1","FHL3",1
"576","TOPBP1","IKZF1",0
"577","TOPBP1","RBBP8",1
"578","TOPBP1","RBPMS",0
"579","TOPBP1","TEX11",1
"580","TOPBP1","TOPBP1",1
"581","TSG101","BNIP3L",0
"582","TSG101","CCND3",1
"583","TSG101","CDKN1A",1
"584","TSG101","CDKN2D",1
"585","TSG101","CEP55",1
"586","TSG101","CNOT7",1
"587","TSG101","CTBP1",0
"588","TSG101","DMRTB1",1
"589","TSG101","LSM3",1
"590","TSG101","MME",0
"591","TSG101","PIAS1",1
"592","TSG101","QKI",1
"593","TSG101","RBPMS",1
"594","TSG101","SH3GLB2",1
"595","TSG101","SNX32",1
"596","TSG101","TEX11",1
"597","TSG101","TSG101",1
"598","TSG101","UBE2I",1
"599","UBE2I","BNIP3L",0
"600","UBE2I","CDK6",1
"601","UBE2I","CTBP1",1
"602","UBE2I","DDX39A",1
"603","UBE2I","FHL3",1
"604","UBE2I","IKZF1",1
"605","UBE2I","IKZF5",1
"606","UBE2I","KLF3",1
"607","UBE2I","MTA1",1
"608","UBE2I","NMI",1
"609","UBE2I","p53",1
"610","UBE2I","PCNA",0
"611","UBE2I","PIAS1",1
"612","UBE2I","RBBP8",0
"613","UBE2I","SARNP",1
"614","UBE2I","SH3GLB1",1
"615","UBE2I","STMN2",1
"616","UBE2I","TSG101",1
"617","UBE2I","UBE2I",1
"618","UCHL5","ADRM1",1
"619","UCHL5","PSMC1",1
"620","UCHL5","PSMC2",1
"621","UCHL5","PSMD2",1
"622","UCHL5","UCHL5",1
"623","VAMP2","STX4",1
"624","VAMP2","VAMP3",1
"625","VAMP3","BIK",1
"626","VAMP3","LSM3",0
"627","VAMP3","STX4",1
"628","VAMP3","VAMP2",1
