"","bait","prey","Enrichment_score","Specificity_score","Sum_scores","Borda_scores","interactor","Interaction_score"
"79","AP2B1","CCL14",0.857771196338384,0.0918226583167989,0.949593854655183,3.11663991439272,NA,0
"80","AP2B1","CCND2",0.840035921717172,0.151882776331019,0.99191869804819,3.9172831203766,NA,0
"81","AP2B1","CCND3",0.988951452020202,0.166655579766629,1.15560703178683,5.15486725663717,NA,0
"82","AP2B1","CDK4",0.846227434062851,0.258690746139726,1.10491818020258,6.4010989010989,NA,0
"83","AP2B1","CDK6",0.868804245580808,0.210057865130862,1.07886211071167,5.25959367945824,NA,0
"84","AP2B1","CDKN1A",0.38098980890538,0.0787580425502723,0.459747851455653,2.07037497778568,NA,0
"85","AP2B1","CDKN2D",0.881842081632653,0.415022021972369,1.29686410360502,13.1787330316742,NA,0
"86","AP2B1","CEP55",0.870216950757576,0.0749340007236967,0.945150951481272,2.93524817334341,NA,0
"87","AP2B1","CNOT7",0.895193702651515,0,0.895193702651515,2.19190968955786,NA,0
"88","AP2B1","CTBP1",0.900030997474747,0.714422077922078,1.61445307539683,28.8366336633663,NA,0
"89","AP2B1","DAPK1",0.859470599257885,0.261458295755171,1.12092889501306,6.69540229885058,NA,0
"90","AP2B1","DDX39A",0.854976783459596,0.0696717336260606,0.924648517085656,2.83041788143829,NA,0
"91","AP2B1","DMRTB1",0.856926672979798,0.177151861075118,1.03407853405492,4.45677123182861,NA,0
"92","AP2B1","EIF4EBP2",0.847371108656005,0.17526182733896,1.02263293599496,4.36656671664168,NA,0
"93","AP2B1","EXOSC1",0.853855918560606,0.0686826199085814,0.922538538469188,2.81605027797921,NA,0
"94","AP2B1","EXOSC5",0.863968254174397,0.0727905674738445,0.936758821648242,2.88866848499876,NA,0
"95","AP2B1","FHL3",0.900030997474747,0.714422077922078,1.61445307539683,28.6945812807882,NA,0
"96","AP2B1","GAA",0.852190119949495,0.154702311582313,1.00689243153181,4.01724137931035,NA,0
"97","AP2B1","IGF2",0.377440025974026,0.0773299780837788,0.454770004057805,2.05903145987982,NA,0
"98","AP2B1","IKZF1",0.843699859708193,0.172376988907335,1.01607684861553,4.30843195266272,NA,0
"99","AP2B1","IKZF5",0.850785164141414,0.151381144851604,1.00216630899302,3.95451459606246,NA,0
"100","AP2B1","KLF3",0.840312701669473,0.139526852243198,0.979839553912671,3.68787591009813,NA,0
"101","AP2B1","lam",0.872466429924242,0.178216317363586,1.05068274728783,4.58661417322835,NA,0
"102","AP2B1","largeT",0.857218513257576,0.24929281856261,1.10651133182019,6.25,NA,0
"103","AP2B1","LSM2",0.882962512059369,0.418237182172252,1.30119969423162,13.5150812064965,NA,0
"104","AP2B1","LSM3",0.860298972170686,0.372195105820106,1.23249407799079,10.3832442067736,NA,0
"105","AP2B1","MME",0.853034643308081,0.239341038359788,1.09237568166787,5.92272496187087,NA,0
"106","AP2B1","MORF4L1",0.858331628787879,0,0.858331628787879,2.04385964912281,NA,0
"107","AP2B1","MRFAP1",0.855821306818182,0.106107609710551,0.961928916528733,3.27523193702558,NA,0
"108","AP2B1","MRFAP1L1",0.353701761238761,0.159322824769205,0.513024586007966,2.53315938247445,NA,0
"109","AP2B1","MTA1",0.858642226345083,0.0896454212652943,0.948287647610378,3.0910055717697,NA,0
"110","AP2B1","NMI",0.8516296875,0.0831311378004269,0.934760825300427,2.99255073208323,NA,0
